time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.458,2.6084,0,0,0.026084,0,0,1
0.459,2.5477,0,0,0.025477,0,0,1
0.46,2.4869,0,0,0.024869,0,0,1
0.461,2.426,0,0,0.02426,0,0,1
0.462,2.365,0,0,0.02365,0,0,1
0.463,2.3039,0,0,0.023039,0,0,1
0.464,2.2427,0,0,0.022427,0,0,1
0.465,2.1814,0,0,0.021814,0,0,1
0.466,2.1201,0,0,0.021201,0,0,1
0.467,2.0586,0,0,0.020586,0,0,1
0.468,1.9971,0,0,0.019971,0,0,1
0.469,1.9355,0,0,0.019355,0,0,1
0.47,1.8738,0,0,0.018738,0,0,1
0.471,1.8121,0,0,0.018121,0,0,1
0.472,1.7502,0,0,0.017502,0,0,1
0.473,1.6883,0,0,0.016883,0,0,1
0.474,1.6264,0,0,0.016264,0,0,1
0.475,1.5643,0,0,0.015643,0,0,1
0.476,1.5023,0,0,0.015023,0,0,1
0.477,1.4401,0,0,0.014401,0,0,1
0.478,1.3779,0,0,0.013779,0,0,1
0.479,1.3156,0,0,0.013156,0,0,1
0.48,1.2533,0,0,0.012533,0,0,1
0.481,1.191,0,0,0.01191,0,0,1
0.482,1.1286,0,0,0.011286,0,0,1
0.483,1.0661,0,0,0.010661,0,0,1
0.484,1.0036,0,0,0.010036,0,0,1
0.485,0.94108,0,0,0.0094108,0,0,1
0.486,0.87851,0,0,0.0087851,0,0,1
0.487,0.81591,0,0,0.0081591,0,0,1
0.488,0.75327,0,0,0.0075327,0,0,1
0.489,0.6906,0,0,0.006906,0,0,1
0.49,0.62791,0,0,0.0062791,0,0,1
0.491,0.56519,0,0,0.0056519,0,0,1
0.492,0.50244,0,0,0.0050244,0,0,1
0.493,0.43968,0,0,0.0043968,0,0,1
0.494,0.3769,0,0,0.003769,0,0,1
0.495,0.31411,0,0,0.0031411,0,0,1
0.496,0.2513,0,0,0.002513,0,0,1
0.497,0.18848,0,0,0.0018848,0,0,1
0.498,0.12566,0,0,0.0012566,0,0,1
0.499,0.062831,0,0,0.00062831,0,0,1
0.5,1.2246e-15,0,0,1.2246e-17,0,0,1
0.501,-0.062831,-0,-0,-0.00062831,-0,-0,1
0.502,-0.12566,-0,-0,-0.0012566,-0,-0,1
0.503,-0.18848,-0,-0,-0.0018848,-0,-0,1
0.504,-0.2513,-0,-0,-0.002513,-0,-0,1
0.505,-0.31411,-0,-0,-0.0031411,-0,-0,1
0.506,-0.3769,-0,-0,-0.003769,-0,-0,1
0.507,-0.43968,-0,-0,-0.0043968,-0,-0,1
0.508,-0.50244,-0,-0,-0.0050244,-0,-0,1
0.509,-0.56519,-0,-0,-0.0056519,-0,-0,1
0.51,-0.62791,-0,-0,-0.0062791,-0,-0,1
0.511,-0.6906,-0,-0,-0.006906,-0,-0,1
0.512,-0.75327,-0,-0,-0.0075327,-0,-0,1
0.513,-0.81591,-0,-0,-0.0081591,-0,-0,1
0.514,-0.87851,-0,-0,-0.0087851,-0,-0,1
0.515,-0.94108,-0,-0,-0.0094108,-0,-0,1
0.516,-1.0036,-0,-0,-0.010036,-0,-0,1
0.517,-1.0661,-0,-0,-0.010661,-0,-0,1
0.518,-1.1286,-0,-0,-0.011286,-0,-0,1
0.519,-1.191,-0,-0,-0.01191,-0,-0,1
0.52,-1.2533,-0,-0,-0.012533,-0,-0,1
0.521,-1.3156,-0,-0,-0.013156,-0,-0,1
0.522,-1.3779,-0,-0,-0.013779,-0,-0,1
0.523,-1.4401,-0,-0,-0.014401,-0,-0,1
0.524,-1.5023,-0,-0,-0.015023,-0,-0,1
0.525,-1.5643,-0,-0,-0.015643,-0,-0,1
0.526,-1.6264,-0,-0,-0.016264,-0,-0,1
0.527,-1.6883,-0,-0,-0.016883,-0,-0,1
0.528,-1.7502,-0,-0,-0.017502,-0,-0,1
0.529,-1.8121,-0,-0,-0.018121,-0,-0,1
0.53,-1.8738,-0,-0,-0.018738,-0,-0,1
